Family,Sub_family,Code,Description,National,Subnational,Subnational_harmonized
Household (H),Size and age composition (S),HS01,Proportion of 1-person households,1,1,1
Household (H),Size and age composition (S),HS02,Proportion of 2-persons households,1,1,1
Household (H),Size and age composition (S),HS03,Proportion of 3-persons households,1,1,1
Household (H),Size and age composition (S),HS04,Proportion of 4-persons households,1,1,1
Household (H),Size and age composition (S),HS05,Proportion of 5-persons households,1,1,1
Household (H),Size and age composition (S),HS06,Proportion of 6-persons households,1,1,1
Household (H),Size and age composition (S),HS07,Proportion of 7-persons households,1,1,1
Household (H),Size and age composition (S),HS08,Proportion of 8-persons households,1,1,1
Household (H),Size and age composition (S),HS09,Proportion of 9-persons households,1,1,1
Household (H),Size and age composition (S),HS10,Proportion of 10-persons households,1,1,1
Household (H),Size and age composition (S),HS11,Proportion of 11+persons households,1,1,1
Household (H),Size and age composition (S),HS12,Proportion of 2-3 persons households,1,1,1
Household (H),Size and age composition (S),HS13,Proportion of 4-5 persons households,1,1,1
Household (H),Size and age composition (S),HS14,Proportion of 6+ persons households,1,1,1
Household (H),Size and age composition (S),HS15,Proportion of households with at least one person 0-4 years old,1,1,1
Household (H),Size and age composition (S),HS16,Proportion of households with at least one person 65+ years old,1,1,1
Household (H),Size and age composition (S),HS17,Average household size,1,1,1
Household (H),Size and age composition (S),HS18,Average number of 0-4 children in the household,1,1,1
Household (H),Size and age composition (S),HS19,Average number of adults in the household (aged 18+),1,1,1
Household (H),Size and age composition (S),HS20,Average number of children in the household (aged < 18),1,1,1
Household (H),Size and age composition (S),HS21,Average number of persons aged 65+ in the household,1,1,1
Household (H),Size and age composition (S),HS22,Average number of 0-9 individuals in the household,1,1,1
Household (H),Size and age composition (S),HS23,Average number of 10-19 individuals in the household,1,1,1
Household (H),Size and age composition (S),HS24,Average number of 20-29 individuals in the household,1,1,1
Household (H),Size and age composition (S),HS25,Average number of 30-39 individuals in the household,1,1,1
Household (H),Size and age composition (S),HS26,Average number of 40-49 individuals in the household,1,1,1
Household (H),Size and age composition (S),HS27,Average number of 50-59 individuals in the household,1,1,1
Household (H),Size and age composition (S),HS28,Average number of 60-69 individuals in the household,1,1,1
Household (H),Size and age composition (S),HS29,Average number of 70-79 individuals in the household,1,1,1
Household (H),Size and age composition (S),HS30,Average number of 80+ individuals in the household,1,1,1
Household (H),Relationship to head (R),HR01,Average number of heads in the household,1,1,1
Household (H),Relationship to head (R),HR02,Average number of spouses of the head in the household,1,1,1
Household (H),Relationship to head (R),HR03,Average number of children of the head in the household,1,1,1
Household (H),Relationship to head (R),HR04,Average number of other relatives of the head in the household,1,1,1
Household (H),Relationship to head (R),HR05,Average number of non relatives of the head in the household,1,1,1
Household (H),Relationship to head (R),HR06,Average number of other relatives and/or non relatives of the head in the household,1,1,1
Household (H),Relationship to head (R),HR07,Average number of Heads in 2 persons household,1,1,1
Household (H),Relationship to head (R),HR08,Average number of Spouses in 2 persons household,1,1,1
Household (H),Relationship to head (R),HR09,Average number of Children in 2 persons household,1,1,1
Household (H),Relationship to head (R),HR10,Average number of Other relatives in 2 persons household,1,1,1
Household (H),Relationship to head (R),HR11,Average number of Non relatives in 2 persons household,1,1,1
Household (H),Relationship to head (R),HR12,Average number of Other relative or Non relatives in 2 persons household,1,1,1
Household (H),Relationship to head (R),HR13,Average number of Heads in 3 persons household,1,1,1
Household (H),Relationship to head (R),HR14,Average number of Spouses in 3 persons household,1,1,1
Household (H),Relationship to head (R),HR15,Average number of Children in 3 persons household,1,1,1
Household (H),Relationship to head (R),HR16,Average number of Other relatives in 3 persons household,1,1,1
Household (H),Relationship to head (R),HR17,Average number of Non relatives in 3 persons household,1,1,1
Household (H),Relationship to head (R),HR18,Average number of Other relatives or Non relatives in  3 persons household,1,1,1
Household (H),Relationship to head (R),HR19,Average number of Heads in 4 persons household,1,1,1
Household (H),Relationship to head (R),HR20,Average number of Spouses in 4 persons household,1,1,1
Household (H),Relationship to head (R),HR21,Average number of Children in 4 persons household,1,1,1
Household (H),Relationship to head (R),HR22,Average number of Other relatives in 4 persons household,1,1,1
Household (H),Relationship to head (R),HR23,Average number of Non relatives in 4 persons household,1,1,1
Household (H),Relationship to head (R),HR24,Average number of Other Relatives or Non relatives in 4 persons household,1,1,1
Household (H),Relationship to head (R),HR25,Average number of Heads in 5 persons household,1,1,1
Household (H),Relationship to head (R),HR26,Average number of Spouses in 5 persons household,1,1,1
Household (H),Relationship to head (R),HR27,Average number of Children in 5 persons household,1,1,1
Household (H),Relationship to head (R),HR28,Average number of Other relatives in 5 persons household,1,1,1
Household (H),Relationship to head (R),HR29,Average number of Non relatives in 5 persons household,1,1,1
Household (H),Relationship to head (R),HR30,Average number of Other relatives or Non relatives in 5 persons household,1,1,1
Household (H),Household typology (T),HT01,Proportion of unipersonal households,1,1,1
Household (H),Household typology (T),HT02,Proportion of households with nuclear relationships to head,1,1,1
Household (H),Household typology (T),HT03,Proportion of households with nuclear and other family relationships to head,1,1,1
Household (H),Household typology (T),HT04,Proportion of households with nuclear and non family relationships to head,1,1,1
Household (H),Household typology (T),HT05,"Proportion of households with nuclear, other family, and non family relationships to head",1,1,1
Household (H),Household typology (T),HT06,Proportion of households with non nuclear family relationships to head,1,1,1
Household (H),Household typology (T),HT07,Proportion of households with non family relationships to head,1,1,1
Household (H),Household typology (T),HT08,Proportion of households with non nuclear family and non family relationships to head,1,1,1
Household (H),Household typology (T),HT09,Proportion of households with non nuclear family and / or non family relationships to head,1,1,1
Household (H),Household typology (T),HT10,Average size of unipersonal households,1,1,1
Household (H),Household typology (T),HT11,Average size of households with nuclear relationships to head,1,1,1
Household (H),Household typology (T),HT12,Average size of households with nucelar and other family relionships to head,1,1,1
Household (H),Household typology (T),HT13,Average size of households with nuclear and non family relationships to head,1,1,1
Household (H),Household typology (T),HT14,"Average size of households with nuclear, other family, and non family relationships to head",1,1,1
Household (H),Household typology (T),HT15,Average size of households with non nuclear family relationships to head,1,1,1
Household (H),Household typology (T),HT16,Average size of households with non family relationships to head,1,1,1
Household (H),Household typology (T),HT17,Average size of households with non nuclear family and non family relationships to head,1,1,1
Household (H),Household typology (T),HT18,Average size of households with non nuclear family and / or non family relationships to head,1,1,1
Household (H),Household typology (T),HT20,Proportion of unipersonal households,1,1,1
Household (H),Household typology (T),HT21,Proportion of households with nuclear relationships to head,1,1,1
Household (H),Household typology (T),HT22,Proportion of stem-family households based on relationship to head,1,1,1
Household (H),Household typology (T),HT23,Proportion of other family households based on relationship to head,1,1,1
Household (H),Household typology (T),HT24,Proportion non family households based on relationship to head,1,1,1
Household (H),Household typology (T),HT25,Proportion of other relative and / or non relative households based on relationship to head (residual category),1,1,1
Household (H),Household typology (T),HT26,Average size of unipersonal households based on relationship to head,1,1,1
Household (H),Household typology (T),HT27,Average size of nuclear households based on relationship to head,1,1,1
Household (H),Household typology (T),HT28,Average size of stem-family households based on relationship to head,1,1,1
Household (H),Household typology (T),HT29,Average size of other family households based on relationship to head,1,1,1
Household (H),Household typology (T),HT30,Average  size of other non family households based on relationship to head,1,1,1
Household (H),Household typology (T),HT31,Average size of other relative and/or non relative households based on relationship to head (residual category),1,1,1
Household (H),Household headship (H),HH01,Proportion of male-headed households,1,1,1
Household (H),Household headship (H),HH02,Proportion of female-headed households,1,1,1
Household (H),Household headship (H),HH03,Proportion of 1-person households of male-headed households,1,1,1
Household (H),Household headship (H),HH04,Proportion of 2-persons households of male-headed households,1,1,1
Household (H),Household headship (H),HH05,Proportion of 3-persons households of male-headed households,1,1,1
Household (H),Household headship (H),HH06,Proportion of 4-persons households of male-headed households,1,1,1
Household (H),Household headship (H),HH07,Proportion of 5-persons households of male-headed households,1,1,1
Household (H),Household headship (H),HH08,Proportion of 6-persons households of male-headed households,1,1,1
